category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
multiclass,Random Forest,200,1,3,10,450,0.26666666666666666
multiclass,Random Forest,200,1,3,10,500,0.26666666666666666
multiclass,Random Forest,200,1,3,12,50,0.3333333333333333
multiclass,Random Forest,200,1,3,12,100,0.3333333333333333
multiclass,Random Forest,200,1,3,12,150,0.3333333333333333
multiclass,Random Forest,200,1,3,12,200,0.26666666666666666
multiclass,Random Forest,200,1,3,12,250,0.26666666666666666
multiclass,Random Forest,200,1,3,12,300,0.26666666666666666
multiclass,Random Forest,200,1,3,12,350,0.26666666666666666
multiclass,Random Forest,200,1,3,12,400,0.26666666666666666
multiclass,Random Forest,200,1,3,12,450,0.26666666666666666
multiclass,Random Forest,200,1,3,12,500,0.26666666666666666
multiclass,Random Forest,200,1,3,14,50,0.3333333333333333
multiclass,Random Forest,200,1,3,14,100,0.26666666666666666
multiclass,Random Forest,200,1,3,14,150,0.3333333333333333
multiclass,Random Forest,200,1,3,14,200,0.26666666666666666
multiclass,Random Forest,200,1,3,14,250,0.26666666666666666
multiclass,Random Forest,200,1,3,14,300,0.26666666666666666
multiclass,Random Forest,200,1,3,14,350,0.26666666666666666
multiclass,Random Forest,200,1,3,14,400,0.26666666666666666
multiclass,Random Forest,200,1,3,14,450,0.26666666666666666
multiclass,Random Forest,200,1,3,14,500,0.26666666666666666
multiclass,Random Forest,200,1,3,16,50,0.3333333333333333
multiclass,Random Forest,200,1,3,16,100,0.26666666666666666
multiclass,Random Forest,200,1,3,16,150,0.3333333333333333
multiclass,Random Forest,200,1,3,16,200,0.3333333333333333
multiclass,Random Forest,200,1,3,16,250,0.26666666666666666
multiclass,Random Forest,200,1,3,16,300,0.26666666666666666
multiclass,Random Forest,200,1,3,16,350,0.26666666666666666
multiclass,Random Forest,200,1,3,16,400,0.26666666666666666
multiclass,Random Forest,200,1,3,16,450,0.26666666666666666
multiclass,Random Forest,200,1,3,16,500,0.26666666666666666
multiclass,Random Forest,200,1,3,18,50,0.3333333333333333
multiclass,Random Forest,200,1,3,18,100,0.26666666666666666
multiclass,Random Forest,200,1,3,18,150,0.3333333333333333
multiclass,Random Forest,200,1,3,18,200,0.3333333333333333
multiclass,Random Forest,200,1,3,18,250,0.26666666666666666
multiclass,Random Forest,200,1,3,18,300,0.26666666666666666
multiclass,Random Forest,200,1,3,18,350,0.26666666666666666
multiclass,Random Forest,200,1,3,18,400,0.26666666666666666
multiclass,Random Forest,200,1,3,18,450,0.26666666666666666
multiclass,Random Forest,200,1,3,18,500,0.26666666666666666
multiclass,Random Forest,200,1,5,6,50,0.2
multiclass,Random Forest,200,1,5,6,100,0.2
multiclass,Random Forest,200,1,5,6,150,0.2
multiclass,Random Forest,200,1,5,6,200,0.2
multiclass,Random Forest,200,1,5,6,250,0.2
multiclass,Random Forest,200,1,5,6,300,0.2
multiclass,Random Forest,200,1,5,6,350,0.2
multiclass,Random Forest,200,1,5,6,400,0.2
multiclass,Random Forest,200,1,5,6,450,0.2
multiclass,Random Forest,200,1,5,6,500,0.2
multiclass,Random Forest,200,1,5,8,50,0.2
multiclass,Random Forest,200,1,5,8,100,0.2
multiclass,Random Forest,200,1,5,8,150,0.2
multiclass,Random Forest,200,1,5,8,200,0.2
multiclass,Random Forest,200,1,5,8,250,0.2
multiclass,Random Forest,200,1,5,8,300,0.2
multiclass,Random Forest,200,1,5,8,350,0.2
multiclass,Random Forest,200,1,5,8,400,0.2
multiclass,Random Forest,200,1,5,8,450,0.2
multiclass,Random Forest,200,1,5,8,500,0.2
multiclass,Random Forest,200,1,5,10,50,0.2
multiclass,Random Forest,200,1,5,10,100,0.2
multiclass,Random Forest,200,1,5,10,150,0.2
multiclass,Random Forest,200,1,5,10,200,0.2
multiclass,Random Forest,200,1,5,10,250,0.2
multiclass,Random Forest,200,1,5,10,300,0.2
multiclass,Random Forest,200,1,5,10,350,0.2
multiclass,Random Forest,200,1,5,10,400,0.2
multiclass,Random Forest,200,1,5,10,450,0.2
multiclass,Random Forest,200,1,5,10,500,0.2
multiclass,Random Forest,200,1,5,12,50,0.2
multiclass,Random Forest,200,1,5,12,100,0.2
multiclass,Random Forest,200,1,5,12,150,0.2
multiclass,Random Forest,200,1,5,12,200,0.2
multiclass,Random Forest,200,1,5,12,250,0.2
multiclass,Random Forest,200,1,5,12,300,0.2
multiclass,Random Forest,200,1,5,12,350,0.2
multiclass,Random Forest,200,1,5,12,400,0.2
multiclass,Random Forest,200,1,5,12,450,0.2
multiclass,Random Forest,200,1,5,12,500,0.2
multiclass,Random Forest,200,1,5,14,50,0.2
multiclass,Random Forest,200,1,5,14,100,0.2
multiclass,Random Forest,200,1,5,14,150,0.2
multiclass,Random Forest,200,1,5,14,200,0.2
multiclass,Random Forest,200,1,5,14,250,0.2
multiclass,Random Forest,200,1,5,14,300,0.2
multiclass,Random Forest,200,1,5,14,350,0.2
multiclass,Random Forest,200,1,5,14,400,0.2
multiclass,Random Forest,200,1,5,14,450,0.2
multiclass,Random Forest,200,1,5,14,500,0.2
multiclass,Random Forest,200,1,5,16,50,0.2
multiclass,Random Forest,200,1,5,16,100,0.2
multiclass,Random Forest,200,1,5,16,150,0.2
multiclass,Random Forest,200,1,5,16,200,0.2
multiclass,Random Forest,200,1,5,16,250,0.2
multiclass,Random Forest,200,1,5,16,300,0.2
multiclass,Random Forest,200,1,5,16,350,0.2
multiclass,Random Forest,200,1,5,16,400,0.2
multiclass,Random Forest,200,1,5,16,450,0.2
multiclass,Random Forest,200,1,5,16,500,0.2
multiclass,Random Forest,200,1,5,18,50,0.2
multiclass,Random Forest,200,1,5,18,100,0.2
multiclass,Random Forest,200,1,5,18,150,0.2
multiclass,Random Forest,200,1,5,18,200,0.2
multiclass,Random Forest,200,1,5,18,250,0.2
multiclass,Random Forest,200,1,5,18,300,0.2
multiclass,Random Forest,200,1,5,18,350,0.2
multiclass,Random Forest,200,1,5,18,400,0.2
multiclass,Random Forest,200,1,5,18,450,0.2
multiclass,Random Forest,200,1,5,18,500,0.2
multiclass,Random Forest,200,1,7,6,50,0.2
multiclass,Random Forest,200,1,7,6,100,0.2
multiclass,Random Forest,200,1,7,6,150,0.2
multiclass,Random Forest,200,1,7,6,200,0.2
multiclass,Random Forest,200,1,7,6,250,0.2
multiclass,Random Forest,200,1,7,6,300,0.2
multiclass,Random Forest,200,1,7,6,350,0.2
multiclass,Random Forest,200,1,7,6,400,0.2
multiclass,Random Forest,200,1,7,6,450,0.2
multiclass,Random Forest,200,1,7,6,500,0.2
multiclass,Random Forest,200,1,7,8,50,0.2
multiclass,Random Forest,200,1,7,8,100,0.2
multiclass,Random Forest,200,1,7,8,150,0.2
multiclass,Random Forest,200,1,7,8,200,0.2
multiclass,Random Forest,200,1,7,8,250,0.2
multiclass,Random Forest,200,1,7,8,300,0.2
multiclass,Random Forest,200,1,7,8,350,0.2
multiclass,Random Forest,200,1,7,8,400,0.2
multiclass,Random Forest,200,1,7,8,450,0.2
multiclass,Random Forest,200,1,7,8,500,0.2
multiclass,Random Forest,200,1,7,10,50,0.2
multiclass,Random Forest,200,1,7,10,100,0.2
multiclass,Random Forest,200,1,7,10,150,0.2
multiclass,Random Forest,200,1,7,10,200,0.2
multiclass,Random Forest,200,1,7,10,250,0.2
multiclass,Random Forest,200,1,7,10,300,0.2
multiclass,Random Forest,200,1,7,10,350,0.2
multiclass,Random Forest,200,1,7,10,400,0.2
multiclass,Random Forest,200,1,7,10,450,0.2
multiclass,Random Forest,200,1,7,10,500,0.2
multiclass,Random Forest,200,1,7,12,50,0.2
multiclass,Random Forest,200,1,7,12,100,0.2
multiclass,Random Forest,200,1,7,12,150,0.2
multiclass,Random Forest,200,1,7,12,200,0.2
multiclass,Random Forest,200,1,7,12,250,0.2
multiclass,Random Forest,200,1,7,12,300,0.2
multiclass,Random Forest,200,1,7,12,350,0.2
multiclass,Random Forest,200,1,7,12,400,0.2
multiclass,Random Forest,200,1,7,12,450,0.2
multiclass,Random Forest,200,1,7,12,500,0.2
multiclass,Random Forest,200,1,7,14,50,0.2
multiclass,Random Forest,200,1,7,14,100,0.2
multiclass,Random Forest,200,1,7,14,150,0.2
multiclass,Random Forest,200,1,7,14,200,0.2
multiclass,Random Forest,200,1,7,14,250,0.2
multiclass,Random Forest,200,1,7,14,300,0.2
multiclass,Random Forest,200,1,7,14,350,0.2
multiclass,Random Forest,200,1,7,14,400,0.2
multiclass,Random Forest,200,1,7,14,450,0.2
multiclass,Random Forest,200,1,7,14,500,0.2
multiclass,Random Forest,200,1,7,16,50,0.2
multiclass,Random Forest,200,1,7,16,100,0.2
multiclass,Random Forest,200,1,7,16,150,0.2
multiclass,Random Forest,200,1,7,16,200,0.2
multiclass,Random Forest,200,1,7,16,250,0.2
